osm_id,osm_type,name,amenity,operator,operator_type,addr_street,phone,website,latitude,longitude
638425993,node,Colégio Presbiteriano do Brás,school,,,,,,-23.5412135,-46.5996502
696175114,node,Coreo Dança,school,,,,,,-23.6358527,-46.6981411
745728710,node,Anglo Vestibulares,school,,,,,,-23.5636722,-46.6348742
922094743,node,Lycee Pasteur,school,,,,,,-23.5922627,-46.6298562
1040038931,node,Fátima,school,,,,,,-23.5977657,-46.5254347
1041601043,node,Escola Pipoquinha,school,,,Alameda Sarutaiá,,,-23.5707203,-46.6527579
1056733098,node,Escola Dom Ratinho,school,,,,,,-23.5727588,-46.6577123
1059213957,node,Escola de Yoga,school,,,Rua Maria Figueiredo,,,-23.5702509,-46.6483781
1066862942,node,Colégio Winnicott,school,,,Alameda Campinas,,,-23.5701355,-46.6571707
1066864702,node,Escola Kumon,school,,,Rua Batatais,,,-23.5712647,-46.6561862
1066868351,node,Escola UNS de Inglês,school,,,Alameda Sarutaiá,,,-23.5696672,-46.6541592
1069878010,node,EMEI Clóvis Bevilacqua,school,,,,,,-23.5983101,-46.5157171
1111596842,node,Beatíssima Virgem Maria,school,,,,,,-23.6226107,-46.6880944
1351407651,node,EE João Evangelista,school,,,,,,-23.6696839,-46.6542982
1369147267,node,Escola Santa Tereza,school,,,,,,-23.5092572,-46.7291686
1373435413,node,Escola Mais,school,,,Rua Alfredo Mendes da Silva,1142601763,https://www.escolamais.com/,-23.6030041,-46.7453423
1443230337,node,Colégio Elvira Brandão,school,,,Luiz Seraphico Júnior,,,-23.6346211,-46.7133489
1590281330,node,Colégio São Domingos Sávio,school,,,,,,-23.6033337,-46.7506249
1617202931,node,Colégio Bandeirantes,school,,,,,,-23.5777066,-46.6436704
1707884010,node,Escola Estadual Professora Marina Cerqueira Cesar,school,,,,,,-23.537753,-46.7006135
1707884012,node,EMEI Ana Maria Poppovic,school,,,,,,-23.5355464,-46.7011849
1769043914,node,EE Conde José Vicente de Azevedo,school,,,,,,-23.6087304,-46.6256798
1770073803,node,Yazigi,school,,,Avenida Paes de Barros,,,-23.5684675,-46.5888307
1780618682,node,Curso Singular Anglo,school,,,,,,-23.6142849,-46.5720635
1793086586,node,Diko Pataca,school,,,,,,-23.6129156,-46.6814279
1812397336,node,Escola Municipal de Educação Fundamental Raul Pompéia,school,,,Avenida Elias Antônio Lopes,+55 11 3941-5024,,-23.434141,-46.713806
1910371912,node,EMEF Professor Roberto Patrício,school,,,Rua Antonio Domingues Freitas,,,-23.471763,-46.6545682
1925452010,node,Colégio Clóvis Bevilacqua,school,,,Rua Sidnei,+55 11 2107 5878,https://portalclovis.com.br/,-23.6221408,-46.5318813
1941018593,node,Fernando Pessoa,school,,,,,,-23.6001049,-46.399783
2324408735,node,E. E. Professora Irene Ribeiro,school,Governo do Estado de São PAulo,,,,,-23.5547848,-46.5224342
2553376028,node,Escola de Educação Infant Reluz I,school,,,Rua Benedito Conrado Filho,+55 11 4341 6613,,-23.7025554,-46.5723378
2568791837,node,E.M. Norimar Teixeira,school,,,,,,-23.6896037,-46.7404693
